age,interest,pid,sex,race
57,1,Democrat,Female,White
91,1,Independent,Male,White
23,1,Repubican,Male,Non-Whte
32,1,Democrat,Female,Non-Whte
130,1,Independent,Female,Non-Whte
60,1,Democrat,Male,White
84,1,Democrat,Female,White
85,1,Repubican,Female,White
27,1,Democrat,Male,Non-Whte
93,2,Democrat,Male,White
75,1,Democrat,Female,Non-Whte
59,2,Independent,Male,Non-Whte
49,1,Democrat,Female,White
33,1,Democrat,Female,White
65,1,Repubican,Male,White
29,1,Repubican,Male,White
27,1,Independent,Female,White
47,2,Independent,Male,Non-Whte
25,3,Independent,Male,Non-Whte
58,1,Democrat,Female,White
41,2,Democrat,Female,Non-Whte
24,1,Democrat,Female,White
39,1,Independent,Male,White
59,1,Democrat,Male,White
36,2,Independent,Female,White
80,1,Democrat,Female,White
25,1,Democrat,Female,White
52,2,Independent,Female,White
47,1,Independent,Female,White
50,1,Democrat,Female,White
72,1,Democrat,Female,White
71,2,Repubican,Male,White
58,1,Independent,Female,White
38,1,Democrat,Female,White
85,1,Repubican,Female,White
72,1,Repubican,Female,White
39,2,Repubican,Male,White
48,4,Democrat,Female,White
66,1,Independent,Male,White
54,2,Democrat,Female,White
85,3,Independent,Male,White
36,2,Repubican,Male,White
81,1,Democrat,Female,White
52,1,Repubican,Male,White
79,2,Democrat,Female,White
66,1,Democrat,Female,White
50,1,Independent,Male,White
25,2,Repubican,Male,White
78,4,Repubican,Female,White
37,2,Independent,Male,White
60,2,Independent,Female,White
42,2,Repubican,Female,White
66,1,Independent,Female,White
47,1,Repubican,Male,White
29,1,Independent,Female,White
66,1,Democrat,Male,White
53,4,Independent,Male,White
58,1,Repubican,Female,Non-Whte
52,1,Repubican,Female,White
41,1,Repubican,Male,White
19,2,Independent,Male,White
57,3,Repubican,Female,White
33,1,Independent,Male,White
78,3,Independent,Female,White
63,2,Democrat,Female,White
26,2,Repubican,Male,White
65,1,Independent,Female,White
76,1,Independent,Male,White
66,1,Democrat,Female,Non-Whte
42,1,Repubican,Male,Non-Whte
35,4,Independent,Male,White
67,1,Independent,Male,White
47,2,Independent,Female,Non-Whte
36,3,Repubican,Female,White
69,1,Democrat,Female,White
68,1,Repubican,Male,White
70,1,Independent,Female,White
76,1,Repubican,Male,White
26,4,Independent,Male,White
34,1,Repubican,Male,White
54,1,Democrat,Female,White
49,1,Democrat,Female,White
45,1,Independent,Female,White
72,4,Independent,Female,White
28,1,Democrat,Female,White
78,3,Democrat,Female,White
33,2,Repubican,Male,White
33,4,Independent,Female,White
31,1,Independent,Female,White
44,1,Repubican,Female,White
67,1,Democrat,Male,Non-Whte
74,4,Repubican,Male,White
57,1,Democrat,Male,Non-Whte
48,1,Repubican,Female,White
49,2,Independent,Female,White
60,1,Democrat,Male,Non-Whte
76,1,Independent,Female,White
48,1,Independent,Female,White
19,3,Democrat,Female,Non-Whte
71,1,Repubican,Female,White
55,1,Independent,Male,White
34,2,Repubican,Female,White
46,1,Repubican,Male,Non-Whte
79,2,Repubican,Female,Non-Whte
41,1,Repubican,Female,White
51,4,Independent,Female,White
47,1,Democrat,Female,White
130,1,Democrat,Female,White
51,1,Repubican,Female,White
62,1,Independent,Male,White
59,2,Independent,Male,White
38,1,Democrat,Male,White
46,1,Repubican,Male,White
37,1,Democrat,Male,White
52,1,Independent,Male,White
60,3,Democrat,Female,White
44,1,Democrat,Female,White
18,2,Democrat,Male,White
87,1,Independent,Female,White
52,2,Repubican,Female,White
52,2,Repubican,Female,White
57,1,Independent,Female,White
50,3,Democrat,Male,Non-Whte
91,4,Independent,Female,White
21,2,Democrat,Male,White
70,2,Democrat,Female,White
30,3,Independent,Male,White
46,2,Independent,Male,White
51,2,Repubican,Male,White
70,3,Independent,Female,White
44,1,Democrat,Male,White
35,1,Democrat,Female,White
35,4,Independent,Male,White
70,3,Independent,Male,White
63,1,Repubican,Male,White
49,1,Independent,Male,White
85,1,Repubican,Female,White
53,2,Repubican,Female,White
33,2,Democrat,Male,Non-Whte
57,1,Democrat,Male,White
45,2,Democrat,Male,White
47,3,Repubican,Female,White
52,1,Independent,Male,White
19,2,Democrat,Female,Non-Whte
74,1,Independent,Female,White
43,1,Repubican,Female,Non-Whte
91,2,Repubican,Female,White
130,2,Independent,Female,Non-Whte
36,1,Democrat,Female,White
22,4,Democrat,Male,Non-Whte
81,2,Repubican,Female,White
76,1,Independent,Female,White
51,1,Democrat,Female,White
71,1,Independent,Female,White
67,2,Repubican,Female,White
64,1,Democrat,Male,White
33,1,Repubican,Female,White
24,1,Repubican,Male,White
69,1,Repubican,Male,White
70,1,Repubican,Female,White
60,1,Independent,Male,Non-Whte
30,3,Repubican,Male,White
54,3,Repubican,Male,White
55,3,Repubican,Male,White
26,2,Independent,Male,White
56,3,Democrat,Female,White
73,1,Repubican,Male,White
42,2,Repubican,Female,White
60,3,Democrat,Male,White
29,2,Democrat,Female,Non-Whte
43,1,Democrat,Female,White
60,2,Democrat,Female,Non-Whte
27,1,Repubican,Male,Non-Whte
47,1,Democrat,Male,White
25,2,Independent,Female,White
55,1,Democrat,Male,White
50,1,Independent,Male,White
30,1,Independent,Male,Non-Whte
31,3,Independent,Female,Non-Whte
82,1,Democrat,Female,White
58,1,Repubican,Female,White
27,1,Independent,Male,White
18,2,Independent,Male,Non-Whte
29,1,Democrat,Male,Non-Whte
57,1,Repubican,Female,White
62,2,Independent,Male,White
19,2,Repubican,Male,White
54,1,Independent,Male,White
38,1,Independent,Male,Non-Whte
36,1,Independent,Female,White
39,1,Democrat,Female,Non-Whte
64,1,Independent,Female,White
52,1,Repubican,Female,White
49,2,Democrat,Female,White
75,1,Democrat,Male,White
60,1,Repubican,Female,White
75,2,Independent,Female,White
49,3,Democrat,Female,White
37,2,Democrat,Male,White
26,2,Democrat,Male,White
35,1,Independent,Male,White
30,1,Independent,Male,Non-Whte
48,2,Independent,Female,Non-Whte
44,4,Independent,Female,White
73,2,Independent,Female,White
18,3,Democrat,Male,Non-Whte
33,1,Repubican,Male,Non-Whte
130,1,Independent,Male,Non-Whte
27,1,Democrat,Female,White
40,2,Repubican,Female,White
69,1,Independent,Female,White
23,1,Repubican,Female,White
72,2,Independent,Male,White
75,1,Repubican,Male,White
130,1,Democrat,Female,Non-Whte
29,4,Independent,Male,White
60,3,Independent,Female,White
70,1,Democrat,Female,White
93,2,Independent,Female,White
65,4,Independent,Female,White
81,NA,Democrat,Female,White
28,2,Democrat,Female,White
65,1,Democrat,Male,White
61,1,Democrat,Male,White
82,1,Democrat,Female,Non-Whte
28,1,Repubican,Female,Non-Whte
40,2,Independent,Female,Non-Whte
54,2,Independent,Male,Non-Whte
29,2,Independent,Female,Non-Whte
38,1,Democrat,Female,White
40,2,Independent,Female,Non-Whte
36,1,Independent,Male,White
34,1,Democrat,Female,White
46,2,Repubican,Male,White
24,2,Repubican,Male,White
38,NA,Independent,Female,White
80,1,Democrat,Male,White
63,1,Democrat,Female,White
42,2,Repubican,Female,White
68,2,Democrat,Female,White
85,1,Democrat,Female,White
27,2,Repubican,Female,White
23,2,Independent,Male,White
18,3,Repubican,Male,White
57,1,Independent,Male,Non-Whte
84,1,Independent,Female,White
25,1,Independent,Male,Non-Whte
42,1,Repubican,Female,White
78,1,Repubican,Male,White
75,1,Repubican,Female,White
35,4,Independent,Male,Non-Whte
42,2,Independent,Male,Non-Whte
51,1,Democrat,Female,White
52,2,Democrat,Male,White
50,1,Democrat,Female,Non-Whte
30,4,Independent,Male,Non-Whte
40,2,Independent,Female,Non-Whte
34,3,Democrat,Female,White
43,1,Repubican,Female,White
58,1,Repubican,Female,White
46,1,Independent,Male,White
39,2,Repubican,Female,White
43,1,Independent,Male,White
80,1,Repubican,Male,White
41,1,Democrat,Female,White
85,1,Democrat,Female,White
67,1,Repubican,Female,White
22,1,Democrat,Male,Non-Whte
34,3,Independent,Female,White
35,3,Repubican,Male,White
68,1,Independent,Male,White
68,1,Democrat,Male,White
38,1,Repubican,Male,White
32,1,Democrat,Female,White
57,1,Independent,Male,Non-Whte
39,1,Independent,Male,White
43,1,Repubican,Female,Non-Whte
57,2,Independent,Male,White
42,2,Independent,Male,White
50,1,Democrat,Male,Non-Whte
37,2,Democrat,Female,White
65,2,Repubican,Male,White
56,2,Democrat,Female,White
28,1,Independent,Female,White
53,1,Repubican,Male,White
78,2,Democrat,Female,White
26,2,Repubican,Female,White
42,1,Independent,Female,White
130,1,Repubican,Female,White
54,1,Democrat,Male,White
68,1,Repubican,Male,White
64,1,Democrat,Female,White
67,1,Repubican,Male,White
18,1,Democrat,Male,Non-Whte
73,1,Democrat,Male,White
58,1,Independent,Male,White
45,1,Repubican,Male,White
38,1,Repubican,Male,White
54,2,Independent,Male,White
67,1,Repubican,Female,White
57,1,Democrat,Male,White
79,3,Democrat,Female,White
50,1,Independent,Male,White
57,2,Repubican,Female,White
34,3,Democrat,Female,Non-Whte
30,2,Democrat,Male,Non-Whte
20,1,Repubican,Male,White
71,3,Independent,Male,White
41,1,Repubican,Female,White
38,1,Repubican,Male,White
42,4,Independent,Male,White
67,4,Independent,Male,White
70,1,Repubican,Female,White
24,2,Independent,Female,Non-Whte
26,1,Democrat,Male,White
54,1,Repubican,Female,White
66,1,Repubican,Female,White
43,3,Independent,Female,Non-Whte
34,1,Independent,Male,White
18,3,Independent,Female,Non-Whte
55,1,Repubican,Female,White
43,2,Democrat,Female,Non-Whte
18,1,Independent,Male,White
73,1,Democrat,Female,White
69,1,Democrat,Female,White
71,2,Independent,Male,Non-Whte
24,2,Independent,Female,Non-Whte
57,1,Independent,Male,White
22,3,Independent,Female,White
39,3,Repubican,Female,Non-Whte
58,1,Democrat,Male,Non-Whte
64,2,Democrat,Male,Non-Whte
53,2,Democrat,Female,White
28,4,Repubican,Female,White
28,3,Independent,Female,White
82,1,Independent,Male,White
32,1,Independent,Male,White
27,2,Independent,Male,White
79,1,Democrat,Male,White
51,3,Independent,Female,White
40,2,Independent,Male,White
20,1,Democrat,Female,White
58,1,Repubican,Male,White
34,1,Repubican,Male,White
28,2,Repubican,Female,Non-Whte
36,2,Independent,Male,Non-Whte
31,1,Repubican,Male,White
57,1,Independent,Male,White
78,2,Independent,Female,White
81,1,Independent,Male,White
33,1,Democrat,Male,White
48,3,Independent,Female,Non-Whte
43,1,Democrat,Male,White
78,1,Independent,Male,White
58,1,Repubican,Female,White
23,3,Independent,Male,Non-Whte
28,1,Repubican,Male,White
81,1,Democrat,Female,White
57,1,Independent,Male,White
86,1,Democrat,Male,White
24,1,Independent,Male,White
45,1,Independent,Male,White
52,1,Independent,Female,White
37,1,Democrat,Male,White
36,2,Repubican,Female,White
65,1,Repubican,Male,White
35,2,Democrat,Female,White
33,4,Independent,Male,White
45,4,Independent,Female,Non-Whte
70,2,Democrat,Female,White
52,1,Democrat,Female,Non-Whte
30,1,Independent,Male,Non-Whte
48,2,Democrat,Male,Non-Whte
46,1,Democrat,Female,White
72,1,Repubican,Female,White
45,1,Repubican,Female,White
61,1,Repubican,Male,White
60,2,Repubican,Female,White
65,1,Democrat,Male,White
64,2,Democrat,Female,White
80,1,Democrat,Male,Non-Whte
23,1,Repubican,Male,White
65,1,Democrat,Female,White
37,2,Repubican,Female,White
50,4,Independent,Male,White
76,1,Repubican,Female,White
28,4,Repubican,Male,White
130,NA,Independent,Male,Non-Whte
40,1,Democrat,Female,White
46,2,Independent,Female,White
50,2,Independent,Female,White
63,3,Democrat,Female,White
45,1,Democrat,Male,White
47,2,Democrat,Female,White
52,1,Independent,Female,White
18,2,Democrat,Male,White
19,2,Independent,Female,White
57,1,Repubican,Male,White
41,1,Independent,Male,Non-Whte
30,1,Democrat,Female,White
55,1,Independent,Female,Non-Whte
58,1,Democrat,Female,Non-Whte
73,2,Democrat,Female,Non-Whte
72,1,Repubican,Female,White
81,1,Repubican,Male,White
82,4,Democrat,Female,White
57,1,Repubican,Male,White
46,3,Repubican,Female,White
54,1,Democrat,Female,White
43,1,Repubican,Female,White
62,2,Democrat,Male,White
28,2,Independent,Male,White
45,1,Independent,Male,White
36,1,Democrat,Female,Non-Whte
40,2,Democrat,Male,Non-Whte
31,1,Repubican,Female,Non-Whte
37,1,Democrat,Male,Non-Whte
40,1,Democrat,Female,Non-Whte
35,2,Democrat,Male,White
60,4,Democrat,Female,Non-Whte
19,2,Independent,Female,White
24,2,Independent,Male,Non-Whte
68,1,Independent,Male,White
21,3,Independent,Female,Non-Whte
18,2,Independent,Female,White
130,1,Repubican,Female,White
130,1,Independent,Male,White
36,1,Democrat,Female,Non-Whte
65,1,Independent,Female,White
62,1,Democrat,Male,White
69,1,Independent,Female,White
53,1,Independent,Female,White
74,NA,Independent,Male,White
73,1,Repubican,Male,White
58,1,Democrat,Male,White
55,1,Repubican,Female,White
26,2,Repubican,Male,White
34,2,Repubican,Female,White
48,1,Repubican,Male,White
60,2,Independent,Male,White
61,1,Independent,Female,White
60,1,Repubican,Female,White
61,1,Independent,Male,White
63,1,Repubican,Male,White
68,1,Repubican,Male,White
82,1,Independent,Female,White
77,2,Independent,Male,White
42,2,Repubican,Female,White
51,1,Independent,Female,White
24,4,Independent,Male,White
62,1,Independent,Male,White
45,1,Repubican,Female,White
47,3,Independent,Female,White
67,1,Repubican,Male,White
73,1,Repubican,Male,Non-Whte
54,1,Repubican,Male,White
65,1,Independent,Female,White
26,1,Democrat,Female,White
19,2,Repubican,Female,White
25,4,Independent,Male,Non-Whte
67,2,Repubican,Female,White
30,2,Democrat,Male,Non-Whte
55,1,Independent,Male,White
46,1,Repubican,Female,White
23,2,Repubican,Male,White
49,1,Independent,Male,White
40,1,Repubican,Female,White
84,1,Democrat,Female,White
43,2,Independent,Female,White
48,2,Independent,Female,Non-Whte
37,1,Repubican,Male,White
39,1,Repubican,Female,White
22,1,Democrat,Male,White
33,4,Independent,Female,White
21,4,Independent,Female,White
23,1,Democrat,Female,White
35,4,Democrat,Female,White
27,2,Independent,Female,Non-Whte
68,NA,Democrat,Male,Non-Whte
45,3,Repubican,Female,White
42,3,Independent,Female,Non-Whte
86,1,Democrat,Female,White
130,1,Democrat,Male,White
28,3,Democrat,Female,Non-Whte
51,1,Democrat,Male,White
24,3,Democrat,Female,Non-Whte
24,1,Democrat,Male,Non-Whte
35,3,Independent,Female,White
130,1,Independent,Female,Non-Whte
67,1,Independent,Male,White
39,1,Democrat,Female,Non-Whte
71,1,Independent,Male,White
22,4,Democrat,Female,Non-Whte
43,NA,Democrat,Female,White
49,2,Independent,Female,White
53,2,Democrat,Male,White
33,1,Democrat,Female,Non-Whte
67,4,Independent,Male,Non-Whte
18,3,Independent,Male,Non-Whte
72,1,Independent,Male,Non-Whte
65,2,Democrat,Female,Non-Whte
49,1,Democrat,Female,Non-Whte
30,1,Democrat,Male,Non-Whte
42,4,Democrat,Female,Non-Whte
67,2,Independent,Male,White
24,4,Independent,Male,White
21,1,Repubican,Male,White
53,4,Independent,Female,Non-Whte
35,1,Repubican,Male,White
18,1,Repubican,Male,White
55,1,Democrat,Male,White
130,4,Independent,Female,Non-Whte
62,2,Independent,Male,White
37,2,Independent,Female,White
59,1,Democrat,Male,White
42,1,Democrat,Male,White
70,1,Repubican,Male,White
27,1,Independent,Female,White
53,2,Repubican,Female,White
31,1,Democrat,Male,Non-Whte
36,2,Democrat,Female,Non-Whte
43,1,Independent,Female,Non-Whte
60,1,Repubican,Female,White
62,2,Repubican,Female,White
69,1,Democrat,Male,White
20,1,Repubican,Male,White
64,4,Democrat,Female,White
74,1,Repubican,Male,White
43,2,Democrat,Female,White
69,1,Democrat,Female,White
75,1,Democrat,Male,White
51,2,Repubican,Female,White
29,1,Repubican,Female,White
47,1,Repubican,Male,White
74,1,Democrat,Female,White
31,3,Independent,Female,White
32,2,Repubican,Female,Non-Whte
30,1,Democrat,Female,White
38,2,Independent,Male,White
53,2,Democrat,Female,White
24,NA,Independent,Male,White
130,1,Democrat,Female,Non-Whte
24,4,Independent,Male,White
58,1,Democrat,Female,White
39,2,Democrat,Male,White
47,1,Independent,Female,White
65,1,Repubican,Male,White
46,1,Democrat,Female,Non-Whte
54,1,Repubican,Female,White
53,1,Democrat,Male,White
80,1,Democrat,Female,White
48,4,Independent,Female,White
62,2,Repubican,Male,White
56,1,Democrat,Male,White
65,1,Repubican,Male,White
71,1,Repubican,Female,White
78,1,Independent,Male,White
86,4,Democrat,Female,White
44,2,Repubican,Male,White
43,1,Independent,Male,White
54,2,Democrat,Male,White
30,3,Independent,Female,White
35,2,Democrat,Female,Non-Whte
66,2,Democrat,Male,Non-Whte
75,1,Repubican,Male,White
49,1,Repubican,Female,White
81,1,Democrat,Male,White
57,1,Democrat,Male,White
76,1,Independent,Female,White
72,2,Democrat,Female,White
75,1,Repubican,Female,White
130,1,Democrat,Female,White
70,1,Independent,Male,White
69,2,Democrat,Female,White
65,3,Independent,Male,White
31,3,Independent,Female,White
51,1,Democrat,Male,White
130,1,Democrat,Female,Non-Whte
22,2,Democrat,Female,White
39,3,Democrat,Male,White
53,1,Independent,Male,White
57,1,Independent,Female,White
87,1,Repubican,Male,White
56,2,Repubican,Female,Non-Whte
27,1,Repubican,Male,White
66,1,Independent,Male,White
77,1,Democrat,Male,White
39,1,Democrat,Female,White
55,1,Democrat,Male,Non-Whte
48,1,Democrat,Female,White
49,1,Democrat,Male,Non-Whte
28,3,Repubican,Female,White
64,1,Independent,Female,White
22,2,Repubican,Female,White
21,2,Repubican,Male,Non-Whte
73,1,Independent,Female,White
69,1,Independent,Female,White
47,1,Independent,Female,Non-Whte
40,1,Democrat,Female,Non-Whte
68,1,Independent,Male,Non-Whte
35,3,Repubican,Female,White
80,1,Democrat,Female,White
22,1,Democrat,Male,Non-Whte
22,1,Repubican,Male,White
63,4,Democrat,Female,White
55,2,Repubican,Female,White
38,4,Independent,Female,White
65,1,Independent,Female,White
50,2,Independent,Male,Non-Whte
42,4,Independent,Male,White
70,1,Repubican,Male,White
83,1,Democrat,Female,White
54,2,Democrat,Female,White
49,1,Democrat,Female,Non-Whte
62,1,Repubican,Male,White
22,1,Repubican,Female,White
68,4,Democrat,Female,White
53,2,Independent,Female,White
28,3,Repubican,Female,White
81,1,Independent,Female,White
65,1,Independent,Female,White
49,1,Democrat,Male,White
28,2,Democrat,Female,White
35,3,Independent,Male,White
41,1,Independent,Male,White
47,1,Independent,Male,White
56,1,Repubican,Male,White
19,2,Repubican,Male,White
78,1,Independent,Female,White
60,1,Independent,Male,White
18,2,Democrat,Male,Non-Whte
32,1,Democrat,Female,Non-Whte
42,4,Independent,Female,White
62,1,Repubican,Female,White
65,1,Repubican,Male,White
21,2,Repubican,Male,White
57,1,Democrat,Male,White
19,1,Independent,Male,Non-Whte
52,1,Democrat,Female,Non-Whte
41,1,Independent,Male,White
33,2,Democrat,Male,Non-Whte
43,2,Independent,Female,Non-Whte
25,4,Independent,Male,Non-Whte
54,3,Independent,Female,Non-Whte
44,4,Democrat,Female,Non-Whte
43,1,Independent,Female,White
62,1,Repubican,Female,White
23,1,Independent,Male,Non-Whte
36,1,Repubican,Female,White
65,2,Repubican,Male,White
64,2,Repubican,Female,White
18,1,Democrat,Male,Non-Whte
58,1,Democrat,Female,White
35,1,Independent,Male,White
22,4,Independent,Male,Non-Whte
18,3,Democrat,Male,Non-Whte
32,2,Democrat,Female,Non-Whte
54,2,Democrat,Female,Non-Whte
56,2,Democrat,Female,White
18,1,Repubican,Male,White
52,3,Democrat,Female,Non-Whte
30,2,Democrat,Female,Non-Whte
57,1,Repubican,Male,White
38,1,Independent,Male,Non-Whte
56,4,Democrat,Female,Non-Whte
58,1,Democrat,Male,White
46,1,Democrat,Male,White
31,2,Independent,Female,White
59,2,Repubican,Female,White
65,1,Democrat,Male,White
63,1,Repubican,Female,White
65,1,Independent,Female,White
28,1,Independent,Female,White
44,1,Independent,Female,White
37,2,Independent,Female,White
61,1,Democrat,Male,Non-Whte
48,1,Repubican,Female,White
18,1,Democrat,Male,Non-Whte
20,1,Independent,Male,White
47,4,Independent,Male,White
56,1,Repubican,Female,White
49,2,Independent,Female,White
40,2,Repubican,Female,White
22,4,Repubican,Female,White
72,1,Democrat,Female,White
58,1,Democrat,Female,White
50,1,Democrat,Female,White
34,1,Independent,Female,White
50,2,Repubican,Female,White
65,1,Independent,Female,White
48,1,Democrat,Male,White
19,3,Democrat,Male,White
51,2,Democrat,Female,White
45,1,Democrat,Male,White
32,1,Repubican,Male,White
26,2,Repubican,Male,White
25,3,Repubican,Female,White
24,4,Independent,Male,White
23,2,Repubican,Male,White
29,1,Repubican,Male,White
44,1,Independent,Male,White
50,1,Independent,Male,White
48,3,Independent,Female,White
25,1,Independent,Female,White
61,1,Democrat,Male,Non-Whte
24,1,Repubican,Male,White
76,1,Independent,Male,White
68,1,Independent,Male,White
58,1,Independent,Male,White
19,2,Democrat,Female,Non-Whte
78,1,Independent,Female,Non-Whte
52,1,Repubican,Female,White
39,1,Repubican,Male,White
40,2,Independent,Female,Non-Whte
60,2,Independent,Female,Non-Whte
42,1,Democrat,Female,Non-Whte
20,3,Independent,Male,Non-Whte
66,1,Independent,Female,White
57,3,Independent,Male,White
52,2,Democrat,Female,Non-Whte
69,1,Repubican,Female,White
71,4,Democrat,Female,Non-Whte
60,1,Democrat,Female,White
30,2,Independent,Female,Non-Whte
55,1,Independent,Male,White
32,1,Independent,Male,White
75,1,Independent,Male,White
27,2,Repubican,Female,White
62,1,Repubican,Female,White
46,1,Democrat,Female,White
29,3,Independent,Female,White
56,2,Democrat,Male,Non-Whte
76,4,Democrat,Female,White
60,1,Independent,Male,White
34,3,Independent,Female,White
40,1,Repubican,Female,White
55,1,Repubican,Female,White
24,2,Independent,Female,White
21,4,Independent,Female,White
57,1,Independent,Male,White
37,1,Democrat,Male,Non-Whte
51,2,Independent,Male,Non-Whte
71,1,Democrat,Female,White
50,1,Democrat,Male,Non-Whte
18,3,Democrat,Female,White
37,3,Independent,Male,Non-Whte
87,4,Democrat,Female,White
35,4,Independent,Male,Non-Whte
68,1,Repubican,Male,White
46,4,Independent,Male,Non-Whte
63,1,Independent,Female,White
44,2,Repubican,Female,White
41,2,Democrat,Female,White
45,3,Democrat,Male,White
66,1,Independent,Male,White
69,4,Repubican,Female,White
77,1,Repubican,Male,White
54,1,Democrat,Female,White
45,1,Independent,Male,White
29,4,Independent,Female,White
43,1,Independent,Male,White
58,1,Repubican,Female,White
57,2,Repubican,Female,White
36,1,Democrat,Female,White
53,1,Independent,Female,White
56,4,Independent,Male,Non-Whte
24,NA,Independent,Female,White
31,3,Independent,Female,White
70,1,Democrat,Female,White
62,1,Repubican,Female,White
69,1,Repubican,Female,White
67,1,Repubican,Female,White
56,1,Repubican,Female,White
34,3,Independent,Female,White
80,1,Democrat,Female,White
36,1,Independent,Female,White
24,1,Repubican,Female,White
22,2,Democrat,Female,White
31,1,Repubican,Male,White
63,3,Repubican,Female,White
22,2,Repubican,Male,White
36,2,Democrat,Female,White
57,2,Independent,Male,White
26,1,Independent,Male,Non-Whte
55,1,Democrat,Male,White
76,1,Repubican,Female,White
69,1,Repubican,Male,White
66,1,Repubican,Male,White
63,1,Democrat,Female,White
76,1,Repubican,Female,White
36,1,Repubican,Male,White
51,1,Democrat,Female,White
70,2,Independent,Male,White
39,3,Repubican,Female,White
65,1,Repubican,Female,White
53,2,Independent,Female,White
41,1,Democrat,Male,White
43,1,Independent,Male,White
79,3,Democrat,Male,White
68,1,Democrat,Female,White
43,4,Independent,Female,White
64,2,Democrat,Female,White
70,1,Repubican,Male,White
22,2,Democrat,Female,White
75,1,Independent,Male,White
53,2,Independent,Male,White
46,1,Independent,Male,White
61,1,Democrat,Male,White
18,2,Independent,Female,Non-Whte
50,1,Repubican,Male,White
42,1,Repubican,Male,White
21,2,Repubican,Male,White
57,2,Democrat,Female,White
55,1,Independent,Female,White
65,1,Independent,Male,White
31,3,Independent,Male,White
37,1,Repubican,Male,White
34,2,Democrat,Female,Non-Whte
47,4,Independent,Female,White
26,3,Repubican,Male,White
57,1,Repubican,Female,White
35,2,Repubican,Female,White
26,1,Independent,Female,White
59,1,Independent,Female,White
61,1,Independent,Female,White
41,2,Repubican,Male,White
41,1,Independent,Male,White
61,1,Independent,Male,White
46,2,Repubican,Female,White
42,4,Democrat,Male,Non-Whte
54,3,Democrat,Male,White
71,1,Independent,Male,White
70,2,Democrat,Male,Non-Whte
61,2,Independent,Female,White
48,1,Independent,Female,White
62,1,Repubican,Female,White
37,2,Democrat,Male,White
42,1,Repubican,Female,White
56,1,Democrat,Female,White
42,1,Repubican,Male,White
86,3,Repubican,Female,White
77,1,Independent,Female,Non-Whte
51,1,Repubican,Female,White
20,4,Democrat,Male,White
21,2,Repubican,Male,White
25,1,Independent,Male,Non-Whte
21,3,Repubican,Male,White
85,1,Repubican,Female,White
64,1,Repubican,Male,White
78,2,Independent,Male,White
28,3,Independent,Male,White
50,1,Independent,Female,Non-Whte
37,3,Democrat,Male,Non-Whte
26,3,Independent,Male,White
42,2,Democrat,Female,Non-Whte
42,1,Repubican,Male,White
27,1,Independent,Male,White
21,NA,Repubican,Male,White
70,1,Democrat,Male,White
130,4,Independent,Male,White
65,1,Repubican,Male,White
56,1,Repubican,Male,White
62,4,Democrat,Male,White
36,2,Independent,Male,White
91,2,Democrat,Female,Non-Whte
74,1,Repubican,Male,White
65,1,Democrat,Male,White
43,2,Democrat,Male,White
40,2,Repubican,Male,White
19,3,Repubican,Female,White
45,1,Democrat,Female,White
54,1,Repubican,Male,White
40,2,Repubican,Male,White
68,1,Independent,Female,White
60,1,Repubican,Male,White
27,2,Independent,Male,White
42,1,Independent,Male,White
42,2,Democrat,Female,Non-Whte
63,2,Democrat,Female,White
76,2,Repubican,Male,White
43,1,Democrat,Male,White
74,2,Independent,Female,White
46,1,Democrat,Female,White
60,1,Independent,Male,White
59,NA,Independent,Male,White
34,2,Democrat,Female,Non-Whte
47,1,Repubican,Male,White
47,3,Repubican,Female,White
83,NA,Independent,Male,White
44,2,Independent,Female,White
47,1,Repubican,Female,White
20,2,Independent,Female,White
130,2,Independent,Male,White
41,4,Repubican,Male,White
130,1,Independent,Male,White
80,1,Repubican,Female,White
33,2,Repubican,Male,White
62,1,Repubican,Female,Non-Whte
28,2,Repubican,Female,White
42,2,Repubican,Male,White
66,1,Repubican,Female,White
36,2,Independent,Male,White
45,1,Democrat,Female,White
60,1,Repubican,Female,White
36,1,Independent,Male,Non-Whte
24,1,Independent,Male,Non-Whte
45,2,Repubican,Male,White
78,1,Democrat,Male,Non-Whte
81,4,Repubican,Female,White
30,1,Democrat,Male,White
23,2,Independent,Male,Non-Whte
49,1,Repubican,Male,White
35,1,Democrat,Female,White
32,2,Repubican,Female,White
31,1,Democrat,Female,Non-Whte
55,1,Repubican,Female,White
42,1,Repubican,Male,Non-Whte
52,1,Independent,Female,White
35,1,Democrat,Female,Non-Whte
61,1,Independent,Female,White
33,1,Repubican,Male,White
26,1,Democrat,Female,Non-Whte
81,1,Repubican,Female,White
56,4,Independent,Male,White
58,2,Independent,Female,White
39,1,Independent,Male,White
79,2,Democrat,Female,White
40,2,Democrat,Female,Non-Whte
33,2,Democrat,Female,White
62,1,Independent,Female,White
51,2,Democrat,Female,White
36,1,Repubican,Male,Non-Whte
43,2,Democrat,Female,White
25,1,Independent,Male,White
18,2,Repubican,Male,White
65,2,Democrat,Male,White
36,2,Independent,Female,White
79,4,Democrat,Female,White
27,1,Democrat,Male,White
41,1,Democrat,Male,White
59,1,Independent,Male,White
81,1,Democrat,Female,White
75,3,Independent,Female,White
64,1,Repubican,Male,White
71,1,Independent,Male,White
130,3,Independent,Female,White
32,3,Independent,Female,Non-Whte
46,2,Repubican,Male,White
69,1,Democrat,Male,White
53,2,Democrat,Female,White
56,1,Independent,Female,White
29,2,Independent,Female,White
