age,interest,pid,sex,race
130,4,Independent,Female,White
44,1,Repubican,Male,Non-Whte
130,1,Independent,Female,Non-Whte
39,1,Independent,Male,White
44,1,Democrat,Male,White
57,4,Independent,Male,White
45,1,Democrat,Female,White
52,4,Democrat,Female,Non-Whte
39,3,Democrat,Female,Non-Whte
58,1,Independent,Male,White
41,2,Independent,Male,White
35,1,Repubican,Male,White
66,2,Repubican,Female,White
27,2,Independent,Female,White
82,2,Independent,Female,White
130,1,Independent,Male,Non-Whte
26,3,Independent,Male,White
70,3,Repubican,Female,White
26,1,Repubican,Male,White
70,1,Repubican,Male,White
82,1,Democrat,Male,White
56,2,Independent,Male,White
18,1,Repubican,Male,Non-Whte
55,1,Democrat,Male,White
34,1,Repubican,Female,Non-Whte
63,1,Independent,Female,White
54,2,Independent,Male,White
50,1,Independent,Male,Non-Whte
37,2,Repubican,Female,White
18,NA,Repubican,Female,White
37,1,Repubican,Male,White
49,1,Repubican,Male,White
62,1,Independent,Male,White
63,1,Independent,Female,Non-Whte
38,1,Independent,Male,White
36,1,Repubican,Male,White
63,2,Democrat,Female,White
25,4,Repubican,Female,White
29,1,Repubican,Female,White
37,3,Repubican,Female,White
78,1,Repubican,Female,White
80,2,Democrat,Male,White
57,1,Repubican,Female,White
50,1,Repubican,Female,White
41,2,Democrat,Male,White
69,1,Democrat,Female,Non-Whte
43,1,Democrat,Male,White
34,1,Repubican,Male,White
49,2,Repubican,Female,White
48,1,Democrat,Male,White
57,2,Democrat,Male,White
23,1,Democrat,Female,White
33,2,Repubican,Female,White
68,1,Independent,Female,White
55,1,Independent,Female,White
130,1,Repubican,Female,White
69,3,Independent,Female,White
47,1,Repubican,Female,White
18,4,Independent,Female,White
37,NA,Independent,Female,White
47,1,Democrat,Male,White
54,1,Repubican,Female,White
58,1,Independent,Male,White
18,4,Independent,Male,Non-Whte
20,1,Democrat,Male,White
54,3,Democrat,Male,Non-Whte
60,1,Repubican,Male,White
42,1,Repubican,Female,White
78,1,Repubican,Female,White
70,1,Democrat,Female,Non-Whte
33,1,Independent,Female,White
23,2,Independent,Female,Non-Whte
50,1,Repubican,Female,White
70,1,Repubican,Male,White
34,2,Repubican,Female,White
33,4,Democrat,Female,Non-Whte
30,1,Repubican,Male,White
70,1,Democrat,Female,White
35,1,Repubican,Male,White
37,2,Repubican,Male,White
54,1,Democrat,Female,White
27,1,Democrat,Male,Non-Whte
42,2,Independent,Female,White
31,1,Democrat,Female,White
92,1,Democrat,Female,White
56,1,Democrat,Male,White
46,3,Democrat,Female,Non-Whte
82,1,Democrat,Female,White
32,1,Democrat,Female,Non-Whte
51,1,Democrat,Male,White
28,2,Independent,Female,White
130,1,Repubican,Female,White
33,3,Democrat,Female,White
80,4,Independent,Female,White
130,1,Independent,Male,White
45,2,Repubican,Male,White
86,1,Repubican,Female,White
50,1,Independent,Female,White
60,1,Democrat,Female,White
70,2,Repubican,Male,White
26,2,Independent,Male,White
45,1,Repubican,Female,White
59,2,Independent,Male,White
32,4,Independent,Female,White
46,1,Democrat,Male,White
